acousticness,danceability,energy,instrumentalness,valence
0.00383,0.561,0.965,7.07e-06,0.304
0.89,0.563,0.431,2.9e-06,0.196
0.227,0.575,0.5,0.0,0.506
0.0521,0.644,0.735,0.144,0.418
0.357,0.804,0.771,3.07e-06,0.739
0.395,0.552,0.25,0.0,0.211
0.027,0.814,0.641,0.0,0.183
0.534,0.574,0.469,9.21e-05,0.288
0.661,0.319,0.432,0.0,0.244
0.653,0.515,0.593,0.162,0.153
0.807,0.626,0.394,0.0,0.341
0.252,0.696,0.809,0.000128,0.857
0.0521,0.644,0.735,0.144,0.418
0.921,0.671,0.41,0.00181,0.51
0.00408,0.603,0.67,1.68e-06,0.446
0.227,0.575,0.5,0.0,0.506
0.426,0.593,0.641,0.901,0.147
0.717,0.442,0.538,2.95e-05,0.139
0.0769,0.671,0.529,0.000335,0.203
0.209,0.637,0.678,0.0,0.254
0.0632,0.707,0.681,5.15e-06,0.646
0.344,0.867,0.933,3.83e-05,0.9
0.359,0.644,0.696,0.0,0.65
0.266,0.88,0.797,0.0444,0.332
0.349,0.895,0.578,0.000556,0.515
0.0789,0.861,0.669,0.00109,0.892
0.649,0.844,0.759,0.0074,0.713
0.39,0.757,0.8,0.0,0.896
0.594,0.722,0.518,0.0,0.483
0.144,0.876,0.83,0.000318,0.351
0.0632,0.707,0.681,5.15e-06,0.646
0.135,0.771,0.615,0.000587,0.406
0.126,0.652,0.815,0.0,0.823
0.37,0.538,0.669,1.06e-06,0.198
0.194,0.678,0.825,0.0,0.51
0.0632,0.707,0.681,5.15e-06,0.646
0.382,0.833,0.722,9.92e-05,0.425
0.322,0.848,0.694,0.0,0.626
0.106,0.726,0.632,0.0,0.289
0.492,0.95,0.249,0.0,0.311
0.197,0.649,0.895,1.96e-06,0.838
0.673,0.72,0.63,0.0,0.607
0.0492,0.783,0.729,0.000272,0.58
0.00302,0.901,0.589,0.000237,0.399
0.0863,0.865,0.573,0.0,0.563
0.114,0.743,0.831,6.43e-05,0.609
0.583,0.835,0.679,1.98e-06,0.85
0.034,0.709,0.56,0.0,0.541
0.402,0.751,0.617,0.0,0.387
0.334,0.794,0.807,0.0,0.575
0.855,0.523,0.477,0.0,0.57
0.252,0.696,0.809,0.000128,0.857
0.0632,0.707,0.681,5.15e-06,0.646
0.0521,0.644,0.735,0.144,0.418
0.227,0.575,0.5,0.0,0.506
0.467,0.492,0.675,0.0,0.478
0.342,0.52,0.731,0.00101,0.662
0.03,0.954,0.516,7.54e-06,0.624
0.0267,0.684,0.607,0.000307,0.498
0.551,0.573,0.422,1.31e-05,0.693
0.138,0.538,0.742,4.67e-05,0.25
